track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Clean Baby Sleep White Noise (Loopable),0zirWZTcXBBwGsevrsIpvT,Dream Supplier & Baby Sleeps & Background White Noise,3,2020,4,29,93,91.7,0.0,142222,0.832,100.0,7,11.1,-26.712,1,0.0,0.0,0,0.0
Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,1,2020,2,10,90,32.5,48.5,164571,40.9,0.0,9,10.3,-10.711,0,10.1,138.419,4,0.376
Clouded,2J6OF7CkpdQGSfm1wdclqn,Brent Faiyaz,1,2020,2,7,86,77.4,58.3,110129,34.4,0.0,2,14.3,-8.765,1,5.59,65.203,3,0.581
Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,21 Savage & Metro Boomin,2,2020,10,2,87,0.5740000000000001,84.7,193591,73.3,0.00104,10,15.1,-6.439,0,16.0,130.029,4,0.202
cardigan,4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,1,2020,7,24,90,53.7,61.3,239560,58.1,0.0344999999999999,0,25.0,-8.588,0,4.24,130.033,4,0.551
Infrunami,0f8eRy9A0n6zXpKSHSCAEp,Steve Lacy,1,2020,12,4,85,31.0,82.6,178328,29.9,9.52,9,7.580000000000001,-7.721,1,4.46,97.012,4,0.215
august,3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,1,2020,7,24,91,53.8,53.2,261923,62.3,0.0072799999999999,5,9.25,-9.208,1,3.31,89.937,4,0.403
You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,Chris Stapleton,1,2020,11,13,83,26.8,60.2,213493,47.7,0.0031,9,17.299999999999997,-8.425,1,3.2,183.89,4,0.552
Revival,2QfX9Pdz3q66fN3kCXl0Js,Zach Bryan,1,2020,5,8,82,77.2,46.400000000000006,221250,36.6,0.00158,7,9.49,-9.025,1,4.7,78.846,4,0.328
Heat Waves,3USxtqRwSYz57Ewm6wWRMp,Glass Animals,1,2020,8,7,90,44.0,76.1,238805,52.5,0.00067,11,9.21,-6.9,1,9.44,80.87,4,0.531
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,1,2020,3,20,91,0.146,51.4,200040,73.0,0.00954,1,8.97,-5.934,1,5.98,171.005,4,0.334
Runnin,5SWnsxjhdcEDc7LJjq9UHk,21 Savage & Metro Boomin,2,2020,10,2,84,0.748,81.89999999999999,195906,62.6,10.1,10,16.7,-4.574,0,20.200000000000003,143.01,4,0.415
"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm,$uicideboy$,1,2020,2,14,83,12.4,79.2,168490,51.1,0.00904,2,14.000000000000002,-6.876,1,4.09,113.983,4,0.111
Sky,29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,1,2020,12,25,85,25.8,78.5,193234,90.3,0.0,2,16.900000000000002,-4.184,1,21.0,139.98,4,0.565
Been Away,5PvVkf1Yuq3XyMqqjPiKPd,Brent Faiyaz,1,2020,2,7,83,47.7,60.2,223630,50.0,0.00569,8,29.5,-9.377,1,29.8,132.798,4,0.395
Took Her To The O,7fEoXCZTZFosUFvFQg1BmW,King Von,1,2020,3,6,82,1.49,82.0,196180,59.2,0.0004709999999999,1,12.1,-7.002,1,29.0,159.98,4,0.4
Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,Polo G,1,2020,5,15,83,34.5,83.2,132833,53.400000000000006,0.0,1,16.5,-7.813,0,25.3,93.924,4,0.116
Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,21 Savage & Metro Boomin & Young Thug,3,2020,10,2,83,34.9,82.5,190331,73.3,0.0,1,11.2,-5.625,0,9.69,97.974,4,0.62
Romantic Lover,7s5VQqrjBtrBgZL4pEa46S,Eyedress,1,2020,8,7,85,70.1,65.8,86739,44.7,92.4,9,19.8,-9.299,0,8.690000000000001,184.316,4,0.538
Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,Diplo & Morgan Wallen,2,2020,5,29,80,27.500000000000004,76.5,169227,55.60000000000001,0.0,11,8.24,-6.417,1,5.12,111.033,4,0.274
Heather,4xqrdfXkTW4T0RauPLv3WA,Conan Gray,1,2020,3,20,89,58.4,35.7,198040,42.5,0.0,5,32.2,-7.301,1,3.3300000000000005,102.078,3,0.27
